location|category|year|month|text
boston|Residential Real Estate|2012|4|Residential real estate in New England shows signs of strengthening as sales continued to increase in February, except in Connecticut where February sales were close to year-earlier levels. According to most contacts, activity is improving across all price segments. Contacts cite low interest rates, falling prices, improving economic conditions, and milder weather as factors contributing to the observed sales increases. Nonetheless, contacts remain cautious about the prospect of housing-market recovery because home prices continued to decline across the six states. Most contacts attribute falling prices to distressed properties; however, they also say the role of distressed properties in the market is diminishing. In the Greater Boston area, by contrast, the median sale price of homes and condos rose in February compared to a year ago. Respondents say buyer activity in Boston has intensified and they are concerned that inventory levels will not provide adequate selection for homebuyers.
minneapolis|Consumer Spending and Tourism|2012|4|Consumer spending continued to expand moderately. Same-store sales at a Minnesota-based retailer increased 7 percent in February compared with a year ago. February sales at a Montana mall were up about 10 percent over last year; remodeling activity was strong for new stores and expansions. March sales were up over 5 percent compared with a year earlier at a North Dakota mall. However, a Minnesota-based hair salon plans to close some of its stores. A Minnesota auto dealer reported that mild weather depressed service and vehicle sales during January and February, but auto sales bounced back in March. In addition, higher gasoline prices don't seem to be influencing buying decisions away from SUVs and light trucks.
minneapolis|Construction and Real Estate|2012|4|The continued warm weather aided construction activity. The value of commercial building permits in the Sioux Falls, S.D., area was up in February from a year earlier. The value and number of new commercial permits increased in Fargo, N.D., during the first two months of 2012 compared with the same period in 2011. Residential construction increased from a year ago. The value of residential building permits increased significantly in the Sioux Falls area in February. The number of single-family building permits increased in Minnesota in January 2012, compared with January 2011. Several new multifamily projects were planned for the Minneapolis area.
minneapolis|Services|2012|4|Activity at professional business services firms increased slightly since the last report. An accountant noted that this tax season was busier and that many firms saw an increase in earnings in 2011 compared with 2010. A bank director from Montana noted that law firms were experiencing mixed activity and that firms specializing in petro-chemical and environmental engineering were seeing increased activity, while mechanical and structural engineering activity was flat to down.
minneapolis|Manufacturing|2012|4|activity expanded. A survey of purchasing managers by Creighton University (Omaha, Neb.) found that manufacturing activity in Minnesota and the Dakotas increased in March. A manufacturer based in northwestern Wisconsin announced plans to build a production plant. A mill in Minnesota will begin a $170 million conversion from producing pulp for paper mills to producing cellulose for textiles. A brewery in Minnesota is expanding its operations. In contrast, a manufacturer of recreational vehicles in South Dakota has halted production and may not reopen.
minneapolis|Energy and Mining|2012|4|Activity in the energy and mining sectors continued at strong levels. Oil and gas exploration activity in North Dakota increased since the last report, but was flat in Montana. A Federal Circuit Court judge upheld a permit for construction of a $10 billion oil refinery in southeastern South Dakota, which would be the first new refinery in the United States since 1976. A separate $500 million diesel refinery was in early planning stages in western North Dakota. Two District ethanol plants are planning conversions to produce a different biofuel. Ninth District iron ore mines continued to operate at near capacity. A mining firm is developing plans in northern Minnesota for a large underground mine to tap a recently discovered copper deposit. Meanwhile, a tribe in western Montana moved to block a copper and silver mine on a wilderness site.
minneapolis|Agriculture|2012|4|Agricultural conditions remained strong. Cattle ranchers benefited from both high beef prices and strong export demand as well as ideal weather for the calving season. Drought conditions remained in Minnesota, the Dakotas and western Wisconsin, but were abated somewhat by recent rain and snowfall. Drier conditions may actually lead to increased corn plantings in the eastern Dakotas by making long-flooded fields available. Unseasonably warm weather has led to reports of early spring wheat plantings in some areas. Prices received by farmers for wheat, corn, dry beans, cattle, hogs, eggs and poultry increased in March from the previous month, while dairy prices fell for the month and the year.
minneapolis|Employment, Wages, and Prices|2012|4|Hiring activity outpaced layoffs since the last report. The new production plant in northwestern Wisconsin is expected to hire 300 workers. In Montana, a company that services student loans could hire about 100 more people this summer. A new wheat straw pulping and molding factory in North Dakota will create 100 jobs. A major Minnesota-based employer noted that fewer employees accepted a recent early retirement offer than expected. In contrast, a telecommunications firm in Minnesota will eliminate 85 positions as part of a restructuring plan, and a printer laid-off almost 50 workers.
cleveland|Manufacturing|2012|4|Production at District factories showed a small increase during the past six weeks, and a majority of manufacturers said that output was above year-ago levels. However, several contacts reported that the boost in new orders they had seen late last year is leveling off and they are uncertain about sales to European customers. Some of our respondents expressed a more cautious outlook than at the start of 2012, but they are not expecting a significant weakening. Shipping volume by steel producers and service centers was trending slightly higher. Demand is being driven by the auto, energy, and industrial equipment markets. Steel representatives are cautiously optimistic about second-quarter shipments, and they expect the positive growth trend to continue. District auto production showed a modest rise during February on a month-over-month basis, while increasing substantially from prior-year levels. Increases were attributed, in part, to the abatement of supply chain issues.
cleveland|Construction|2012|4|Single-family-home construction has improved slightly during the past couple of months, although overall sales remain at very low levels. Activity in multi-family construction and remodeling remains strong. Single-family-home builders are a little more optimistic in their outlook due to the time of year and low mortgage interest rates. A few builders reported reducing house sizes and altering interior specs as a means of holding new- home prices steady. Employment and wages were stable.
cleveland|Consumer Spending|2012|4|Retailers reported that sales were ahead of plan during the past six weeks and increased by single digits relative to year-ago levels. Almost all of our contacts cited the unusually warm weather as a primary factor for the pickup in sales, which was seen across their product lines. However, several of our respondents described middle-income households as challenged. These consumers are trading down, looking for value, and they remain very sensitive to rising gasoline prices. Most retailers expect second-quarter sales to increase over prior-year levels, mainly in the low- to mid-single digits. However, grocers anticipate little change in sales. Reports on vendor pricing were mixed. Upward pressure was attributed mainly to rising transportation and offshore labor costs, with little emphasis on changes in raw material pricing. There was some reluctance to pass through rising costs to consumers. Inventories were characterized as being in good shape. Capital spending for the year remains on track. Outlays will be used largely for technology enhancements, distribution facilities, store expansions, and new store construction. Little hiring is anticipated except at new stores.
cleveland|Banking|2012|4|Demand for business credit was described as either steady or rising, with a majority of bankers telling us that loan pricing remains competitive. Requests are being driven by commercial real estate, including multifamily housing, and healthcare. Consumer credit requests rose slightly during the past six weeks. Demand was mainly for auto lending (direct and indirect) and home equity lines of credit. Several community bankers commented that it is difficult competing against large banks, credit unions, and captives, especially for motor vehicle loans. In the residential mortgage market, demand was described as steady to very strong. A high percentage of applicants are looking to refinance. No changes were made to loan application standards. Delinquencies were generally steady or declined; any increases were found largely in real estate portfolios. Core deposits continued to grow. Payrolls were stable, with little hiring expected.
cleveland|Energy|2012|4|Conventional oil and natural gas drilling and production were flat since our last report, with little change expected in the upcoming weeks. Our contacts attributed these conditions to low natural gas prices and regulatory costs. Well-head prices for oil were up slightly. Leasing activity in Ohio's Utica shale continues to expand, and energy companies are redeploying drilling resources from dry gas to the wet gas areas of the Marcellus shale due to its significantly higher market value. The outlook for coal production during 2012 is similar to 2011 levels. However, there is a growing likelihood that output will decline due to the regulatory environment and lessening demand from electrical utility companies and offshore markets. Spot prices for metallurgical and steam coals continued to decline. Production equipment and materials prices were fairly steady except for rising diesel fuel prices and the cost of items tied to steel.  payrolls were stable, though some small oil and gas companies are considering layoffs because of reduced revenues.
cleveland|Transportation|2012|4|Freight transport volume has been trending higher during the past few weeks. Industries driving demand include energy and metals. One executive noted a significant upswing in long-term leasing of his railroad cars. Volume is expected to continue growing at a moderate pace for the remainder of the year. Costs associated with truck maintenance have begun stabilizing after increasing for two consecutive quarters. The price of diesel fuel continues to rise, although a few of our contacts characterized it as manageable. Some of the increase was passed through via surcharges. Capital spending for 2012 remains on plan. Outlays are allocated for replacement of aging units and adding capacity, although it remains difficult to recruit qualified drivers. We heard two reports of additional drivers being hired to meet potential staffing requirements under the new hours-of-service rules. Some wage pressure exists due to a tightening of the driver pool.
atlanta|Consumer Spending and Tourism|2012|4|Most contact reports on consumer spending were generally positive. Sales of home appliances, furniture, and autos were solid, while apparel was more mixed. Most retailers remained optimistic that sales would improve over the next three months, but noted that the impact of higher gasoline prices posed a downside risk to their sales outlook.
atlanta|Real Estate and Construction|2012|4|The majority of residential broker contacts reported that home sales exceeded the year earlier level in late February and March. More than two-thirds of the brokers indicated that sales met or exceeded their expectations. Florida contacts noted strengthening sales, particularly in South Florida markets. Many noted that inventory levels across the District continued to decline on a year-over-year basis and, in spite of this, home prices were flat to slightly down compared with a year ago. The outlook among brokers for sales growth remained positive, with most anticipating modest year-over-year gains over the next several months.
atlanta|Manufacturing and Transportation|2012|4|Manufacturing activity across the Sixth District improved compared with the last report. Most contacts reported an increased level of both new orders and production. Several large auto manufacturers announced plans to hire more workers to meet increased demand for their products. A major industrial equipment producer and two medium-sized manufacturers announced plans to increase their presence in Georgia. Most manufacturers also indicated some increase in non-labor input costs.
atlanta|Banking and Finance|2012|4|Contacts at community banks indicated liquidity levels remained high, a result of increasing deposit balances and relatively soft loan demand. Some contacts acknowledged a slight increase in demand for C&I and commercial real estate loans in some metropolitan areas, and a general rise in demand for automobile loans. In rural areas, however, low property valuations were said to be hindering overall loan activity. The demand for mortgages varied widely by market and some community bank contacts indicated that they have exited the mortgage origination market altogether. Lending standards at these institutions have remained largely unchanged. Smaller institutions noted tough competition from larger banks for credit customers. Many of these contacts expressed concern that regulatory compliance costs were affecting profit margins.
atlanta|Employment and Prices|2012|4|Overall hiring trends were positive, but growth remained relatively modest in late February and March. While business contacts noted some increased optimism about the economic outlook, most firms continued to approach expansion plans with considerable caution. Among firms adding to payrolls, many were utilizing temporary or contract hires in order to contain costs and retain flexibility. Reports indicated that smaller businesses were looking to rebuild margins before proceeding to adjust their payrolls. Several businesses, including trucking related firms, asserted that they were faced with a lack of qualified labor. One large manufacturer addressed the issue of the lack of qualified workers by bringing back retirees on a contract basis to help train new hires.
atlanta|Natural Resources and Agriculture|2012|4|Investment in transportation infrastructure for oil and natural gas continued to increase; however, contacts noted that more investment is needed to accommodate recent increases in domestic and Canadian energy production. District refining contacts noted that the capacity to process the heavier grades of crude oil that are increasingly available is limited, despite recent investment in additional refinery capacity. While conditions improved in parts of the District, much of Georgia and Florida continued to experience varying degrees of drought. Contacts also reported that Florida citrus growers continued to fight greening disease. Prices paid to farmers for poultry and soybeans were up from the previous reporting period. Contacts continued to report concerns regarding available labor supplies in Georgia and Alabama, attributing this to the tougher immigration laws.
new_york|Consumer Spending|2012|4|Retailers report that sales were mixed but mostly steady and strong in February and the first few weeks of March. One major retail chain reports that sales were above plan and running more than 5 percent ahead of year earlier in both February and March, led by strength in spring apparel and accessories. Retail contacts in upstate New York report that sales in recent weeks have been strong and running roughly on par with a year earlier, which was also characterized as a very strong period, with continued strong demand from Canadian shoppers. However, another major retailer indicates that same-store sales were below plan and down considerably from 2011 levels. Retail prices continue to be mostly stable, but one major chain notes declining costs for apparel merchandise. Inventories are generally reported to be at desired levels.
new_york|Construction and Real Estate|2012|4|Housing markets across much of the District appear to have picked up since the last report, while rental markets continue to firm. Home sales are reported to be on the upswing in northern New Jersey, though prices are steady to declining, largely due to more distressed properties coming to market. One industry expert notes surprising strength in new multi-family construction in New Jersey--almost entirely rental units--thus far in 2012; this segment now accounts for well over 50 percent of all new homebuilding, which is said to be unprecedented. Apartment rental markets in both New York City and northern New Jersey continue to firm, with inventories tight and rents rising steadily. A major New York City appraisal firm notes that Manhattan's co-op and condo market has firmed since mid-February: while prices remain flat, sales have picked up--especially for studio and 1-bedroom co-ops--and new contract activity is estimated to be running 7 percent ahead of a year earlier. Conditions in the outer boroughs have been somewhat softer. Real estate contacts in western New York State report continued gradual improvement in home sales activity but note some downward pressure on prices.
new_york|Other Business Activity|2012|4|A major New York City employment agency specializing in office jobs reports that hiring activity has held steady since the last report. Legal hiring has picked up somewhat but for specific positions with specialized qualifications, while finance-sector hiring remains modest. More broadly, though, a sizable number of manufacturers and a growing number of business contacts in other sectors say that they plan to step up hiring activity in the months ahead.
new_york|Financial Developments|2012|4|Small to medium-sized banks in the District report increased loan demand in all categories, but particularly for commercial mortgages. Bankers indicate increased demand for refinancing but to a less widespread degree than in recent months. Credit standards are reported to be little changed across all loan categories. Respondents note a decrease in spreads of loan rates over the cost of funds for all loan categories--particularly for commercial and industrial loans where well over two in five bankers report lower spreads, while none report higher spreads. Respondents also indicate some decline in average deposit rates. Finally, bankers report decreases in delinquency rates for all loan categories. Moreover, the reported decreases are more widespread among our banking contacts than at any time since the late 1990s.
chicago|Consumer Spending|2012|4|Consumer spending increased significantly in late February and March. Retailers reported unseasonably warm temperatures boosted retail sales. Because of the earlier-than-normal start to the spring shopping season, inventories of some lawn & garden, home improvement, and leisure items ended the reporting period on the lean side. Several contacts thought that the recent gains in consumer spending might dissipate over the medium-term, pointing to the temporary nature of the boost from warmer weather and concerns about the impact of higher gasoline prices on consumer budgets. Auto sales increased, with contacts noting improved availability of financing for prospective buyers with below-prime credit ratings. Dealerships continued to report some difficulty in stocking popular models because of supply-chain constraints.
chicago|Business Spending|2012|4|Business spending continued to increase in late February and March. Contacts reported that inventories were generally at comfortable levels, with the exceptions in auto and consumer goods noted above. Capital spending increased steadily. Purchases of heavy equipment picked up, led by robust activity in the energy sector. An exception was the coal mining industry which a contact noted was being negatively impacted by mild weather and the cheaper extraction costs for natural gas. Several manufacturers reported spending for technological upgrades as well as moving ahead with planned increases in capacity. Contacts also noted a pick-up in building renovation and increased spending on marketing and for labor force training. Labor market conditions continued to improve. Hiring increased, although it remained selective in many industries. Manufacturing contacts continued to report difficulty in attracting job applicants with ideal skill sets, and in some cases have reduced experience requirements or increased salaries to fill open positions. A staffing firm reported an increase in demand for light industrial, office and clerical, and IT and engineering positions. However, gains in these areas were being offset by declines in others, so that on net temporary employment was little changed.
chicago||2012|4|Business Spending       Business spending continued to increase in late February and March. Contacts reported that inventories were generally at comfortable levels, with the exceptions in auto and consumer goods noted above. Capital spending increased steadily. Purchases of heavy equipment picked up, led by robust activity in the energy sector. An exception was the coal mining industry which a contact noted was being negatively impacted by mild weather and the cheaper extraction costs for natural gas. Several manufacturers reported spending for technological upgrades as well as moving ahead with planned increases in capacity. Contacts also noted a pick-up in building renovation and increased spending on marketing and for labor force training. Labor market conditions continued to improve. Hiring increased, although it remained selective in many industries. Manufacturing contacts continued to report difficulty in attracting job applicants with ideal skill sets, and in some cases have reduced experience requirements or increased salaries to fill open positions. A staffing firm reported an increase in demand for light industrial, office and clerical, and IT and engineering positions. However, gains in these areas were being offset by declines in others, so that on net temporary employment was little changed.
chicago|Construction and Real Estate|2012|4|Construction activity increased in late February and March. Demand continued to be strong for multi-family construction, particularly apartments. That said, a few contacts questioned whether current apartment building plans would lead to overbuilding in this segment. Overall, residential real estate conditions improved slightly. Single-family construction was up some from its depressed levels, as large homebuilders have seen a solid increase in sales in the last three months. Realtors noted some increase in activity in the market for existing homes, although many buyers are still waiting for prices to come down further. Foreclosures continued to put downward pressure on prices. Nonresidential construction also increased. Contacts noted a pick-up in industrial, healthcare and infrastructure building activity. Commercial real estate conditions were mixed by segment. Vacancy rates decreased for office and industrial properties, but contacts indicated that excess retail space continues to exist, especially big box stores and strip center/mall space. Commercial rents were flat, as was the available sublease space on the market.
chicago|Manufacturing|2012|4|After a strong start to the year, growth in manufacturing production leveled off in late February and March. With an increase in quoting activity and deepening order books, contacts remained cautiously optimistic that growth would pick up again in the coming quarters. The auto industry continued to be a source of strength. Automakers expected sales to continue to increase over the year, but voiced concern that it would be challenging for production to rise much further above what is already planned given the capacity constraints faced by their suppliers. Confirming this production limit, several auto suppliers reported that they have already been asked by their customers to increase capacity. Capacity utilization in the steel industry was steady, but an industry contact expected to see some acceleration in production in the near term. Demand for heavy equipment was boosted by the need to replace ageing equipment. Exporters continued to benefit from advantageous terms of trade; and despite some softening in demand from Western Europe, again reported robust orders from Asia and Latin America.
chicago|Banking and Finance|2012|4|Credit conditions were slightly improved from the prior reporting period. Volatility and risk premia edged lower and concerns about European sovereign debt continued to subside. Several contacts noted an increase in risk appetite, pointing to higher demand for equities and real estate. Banking contacts indicated that business loan growth remained moderate, with their larger corporate clients continuing to cite policy uncertainty as a reason for caution in borrowing. In contrast, consumer loan growth picked up, with credit card usage increasing. Credit availability for households improved, particularly for auto loans and credit cards, where greater competition was leading to more favorable terms for borrowers. However, credit conditions remained tight for homebuilders and small businesses.
chicago|Prices and Costs|2012|4|Cost pressures increased in late February and March. Contacts noted higher energy prices, particularly for gasoline, although natural gas prices remained at historic lows. Prices for chemicals, steel, and non-ferrous metals also edged up. Wholesale prices increased; however, retail contacts indicated that it had become increasingly difficult to pass on higher wholesale costs to consumers. Wage pressures increased, but continued to be moderate. Contacts expected that wage and benefit increases this year would not exceed inflation. However, a shortage of skilled manufacturing workers contributed to upward pressure on wages to attract qualified candidates as well as improved benefit packages to retain current employees.
chicago|Agriculture|2012|4|Unseasonably warm weather has jumpstarted field work and corn planting in the District. There were reports of tight supplies of some agricultural chemicals, as well as some types of corn seed. Most of the District has sufficient moisture for a strong start to the corn crop. With spring planting taking place up to a month early, some corn will be harvested in August; combined with the potential of a record corn crop, concerns about corn stocks being low before the traditional harvest time diminished and corn prices moved lower. Soybean prices have risen in response to lower-than-expected harvests in South America. The increase in soybean prices relative to corn prices, as well as some acreage being removed from environmental protection restrictions, resulted in an increase in the number of acres that famers expect to plant in soybeans. Milk and hog prices decreased, while cattle prices continued to rise.
dallas|Prices|2012|4|Responding firms said prices held steady or increased, and several noted concerns regarding rising fuel costs. Food producers reported increases in selling prices to offset high input costs, and airlines noted higher fares. Intermodal transportation firms said they had increased prices in response to higher fuel costs, and parcel shipping firms noted plans to increase surcharges to offset rising fuel costs. Retailers and automobile dealers said higher gas prices had not significantly affected sales. Agricultural commodity prices declined since the last report.
dallas||2012|4|Prices       Responding firms said prices held steady or increased, and several noted concerns regarding rising fuel costs. Food producers reported increases in selling prices to offset high input costs, and airlines noted higher fares. Intermodal transportation firms said they had increased prices in response to higher fuel costs, and parcel shipping firms noted plans to increase surcharges to offset rising fuel costs. Retailers and automobile dealers said higher gas prices had not significantly affected sales. Agricultural commodity prices declined since the last report.
dallas|Labor Market|2012|4|Most responding firms said employment levels held steady since the last report, although several noted slight increases. Staffing firms said demand softened slightly in March, but direct hires were still strong. Staffing contacts also noted shortages of skilled workers in IT and accounting. There were scattered reports of small employment increases in the high-tech manufacturing, transportation manufacturing, metals, auto sales and airline industries. Accounting firms noted a pickup in temporary workers due to the tax season. Wage pressures remained minimal, although slight salary increases were noted by some legal, auto and high-tech manufacturing firms.
dallas|Manufacturing|2012|4|Overall demand for construction related products increased since the last report, although a few respondents' outlooks have become slightly more guarded. A cement producer and a lumber firm noted improving demand in the residential sector, while a fabricated metals producer said private projects related to oil and gas, manufacturing and highway construction were driving the pickup in demand. Primary metals firms noted that commercial construction projects including hospitals, schools and government buildings were a factor behind improving demand, along with solid sales to truck and trailer manufacturers.
dallas|Retail Sales|2012|4|Retail sales grew modestly over the comparable period a year ago and performed in line with expectations. According to some national retailers, the Eleventh District's strength relative to the nation declined as warm weather in the north and east prompted strong spring clothing sales in those regions. Contacts noted that consumer demand appears healthier, and most expect moderate sales growth for the year. Inventories are being managed closely.
dallas|Services|2012|4|Demand for staffing services softened slightly at the end of March, following solid activity earlier in the year. Still, orders for direct hires remained strong and shortages of skilled accounting and IT professionals were reported. Outlooks were positive as contacts expect demand to bounce back in the second quarter. Legal firms reported a slight pickup in demand for their services. Contacts said mergers and acquisitions and transactional service activity had surpassed expectations, and there is continued strength in demand for intellectual property, energy and some real-estate related legal services. Accounting firms reported a modest increase in overall activity and characterize this year's tax and audit season as unusually good.
dallas|Construction and Real Estate|2012|4|Housing demand continued to pick up over the past six weeks. Tight new home inventories led to a modest rise in construction activity. Sales activity rose and inventories fell in the existing home market. Some contacts expect lower inventories to impact prices positively in 2012. Apartment leasing activity remained robust since the last report.
dallas|Financial Services|2012|4|Financial firms reported a modest uptick in loan demand. National banks reported strength in middle-market lending and large corporate lending activity. Regional banks also noted improved sentiments, and several banks suggested energy-related activity remains robust. Outlooks are generally less pessimistic, and some outright optimistic, with an overall theme that "loan demand is slightly stronger." The most optimistic contacts were large bank lenders or regional banks that expressed strength in renewed corporate lending. Loan pricing remains competitive. Outstanding loan quality continues to improve, and contacts continue to note fewer problem loans.
dallas|Energy|2012|4|Contacts at energy-related service firms said demand and backlogs from oil-producing areas remained very strong over the past six weeks. Many respondents, however, were concerned about weaker than expected demand for gas-directed drilling and a related decline in demand for fracturing services and horizontal drilling services. While respondents said overall demand in Texas is still very strong, several noted that crews were being shifted from dry gas-producing basins such as the Barnett shale to oil-producing basins such as Permian and Eagle Ford. While such disruptions were expected to be temporary, some contacts had lowered expectations for 2012.
dallas|Agriculture|2012|4|Rainfall continued to ease drought conditions in many parts of the District. West Texas did not receive much moisture, however, and the severity of drought there worsened over the reporting period. Prospects for 2012 crops are improved due to better soil moisture, and producers will have more flexibility with what to plant.
st_louis|Manufacturing and Other Business Activity|2012|4|Reports of plans for manufacturing activity have been mixed since our previous report. Several manufacturers announced plans to increase operations and hire workers, while a similar number of contacts reported plans to close plants and lay off workers in the near future. Firms in the pipe, bathroom products, all-terrain vehicle, construction machinery, processed poultry, and power tool manufacturing industries announced plans to increase existing operations or open new plants in the District. In contrast, firms in the oil blending and packaging and fish farming industries announced plans to close plants and lay off workers. In addition, a major firm in the printing industry announced plans to close a plant in the District and lay off a large number of workers.
st_louis|Real Estate and Construction|2012|4|Home sales increased throughout most of the Eighth District on a year-over-year basis. Compared with the same period in 2011, February 2012 year-to-date home sales were up 10 percent in Memphis, 24 percent in St. Louis, 19 percent in Louisville, and 14 percent in Little Rock. Residential construction increased in the majority of the District over this time period. February 2012 year-to-date single-family housing permits increased in the majority of the District metro areas compared with the same period in 2011. Permits increased 22 percent in Memphis, 63 percent in Louisville, 28 percent in Little Rock, and 25 percent in St. Louis.
st_louis|Banking and Finance|2012|4|Total loans outstanding at a sample of small and medium-sized District banks were essentially unchanged in the three-month period from mid-December to mid-March. Real estate lending, which accounts for 73.7 percent of total loans, decreased 0.4 percent. Commercial and industrial loans, accounting for 15.8 percent of total loans, grew 2.2 percent. Loans to individuals, accounting for 4.7 percent of loans, decreased 1.3 percent. All other loans decreased 8.8 percent and accounted for 5.8 percent of total loans. Over this period, total deposits increased 1.9 percent.
